Data,Method,Parc,R,CIs_R_1,CIs_R_2,MAE,CIs_MAE_1,CIs_MAE_2,Delta_R,CIs_Delta_R_1,CIs_Delta_R_2,Delta_MAE,CIs_Delta_MAE_1,CIs_Delta_MAE_2
Age_gender_scanner_TBrainVolume_Contrast,randomF,AAL,0.0804668110373725,0.0489336983193723,0.113583673060392,7.1920556473058,7.01944935339874,7.36689179949318,0.122490866730273,0.0815051153268221,0.163522641240997,-0.0246023729454512,-0.0486297284271662,-0.000703837109477856
Age_gender_scanner_TBrainVolume_Contrast,SVR,AAL,0.0369042321803761,0.00475024345419415,0.0684053178775832,7.21074365936654,7.03467908208801,7.37031264655733,0.0536235593048913,0.00796298344917114,0.09432595695061,0.00101035149034878,-0.0154238078195506,0.0175835731503979
Age_gender_scanner_TBrainVolume_Contrast,Xgboost,AAL,0.0733765117710251,0.0433653954384912,0.106723205114457,7.20110355840442,7.02289686768787,7.36120034708623,0.0907700337242753,0.0482970792542139,0.132653680275526,-0.0267061013045309,-0.061220034667655,0.00942515733181448
Age_gender_scanner_TBrainVolume_CT,glmnet,160,0.104617853994733,0.0747512355405235,0.135469086973434,7.18689361593769,7.01449314125408,7.36289571074196,0.107380263103934,0.0652261573715883,0.146013766834493,-0.0253308411093887,-0.0563175517947907,0.00829774672229888
Age_gender_scanner_TBrainVolume_CT,randomF,160,0.0912617426187401,0.0585712273763736,0.12315346702632,7.18859769752657,7.0101095849473,7.36423838630157,0.13328579831164,0.0928957221400236,0.174618483790002,-0.0280603227246843,-0.0492800287122939,-0.00596642696789296
Age_gender_scanner_TBrainVolume_CT,SVR,160,0.0738776098688192,0.0433783133908353,0.106093088593619,7.20369909560597,7.03803526560384,7.36860465718006,0.0905969369933344,0.0496241766084986,0.133798461470785,-0.00603421227022505,-0.0315507479835162,0.01871977840911
Age_gender_scanner_TBrainVolume_CT,Xgboost,160,0.111118115744665,0.0806672322324913,0.14149498500649,7.18298858082238,7.00249973206647,7.35868433364025,0.128511637697915,0.0905611255080387,0.168517800527307,-0.0448210788865735,-0.0842064493000918,-0.00515782314038526
Age_gender_scanner_TBrainVolume_CT,glmnet,640,0.0831520169039745,0.0513424810631386,0.113538138648749,7.21174949116648,7.02779757574191,7.38291027814305,0.0859144260131748,0.0448315731442168,0.125540714919531,-0.000474965880596478,-0.0359821834616594,0.0325930748990548
Age_gender_scanner_TBrainVolume_CT,randomF,640,0.106575356781181,0.0740901337374813,0.137007689081014,7.18262074709136,7.01108699959119,7.35207396942782,0.148599412474082,0.10884343061365,0.191460738044359,-0.0340372731598926,-0.0526155137408746,-0.0156041340691684
Age_gender_scanner_TBrainVolume_CT,SVR,640,-0.0176422861794875,-0.0509230792530414,0.0151935023557618,7.20862671941963,7.04324879579984,7.3948825209085,-0.000922959054972368,-0.0342183797227869,0.0297177734842723,-0.00110658845656264,-0.00321017229996157,0.00125278127418582
Age_gender_scanner_TBrainVolume_CT,Xgboost,640,0.113390204864693,0.083991121455655,0.142758513870631,7.17886718378429,7.00834684087596,7.35160666353495,0.130783726817943,0.0897157229983171,0.172244774820817,-0.0489424759246626,-0.0798168120897262,-0.0186460883284547
Age_gender_scanner_TBrainVolume_CT,glmnet,2560,0.0538586278187934,0.0215843312275229,0.0869430263422619,7.21204016142136,7.04882451154721,7.37981324884861,0.0566210369279937,0.0150229648347639,0.0962365407296733,-0.000184295625712316,-0.0220711347309082,0.0211510338471363
Age_gender_scanner_TBrainVolume_CT,randomF,2560,0.0935789222985173,0.0602161479014255,0.124297239828508,7.18926146092292,7.03175572141779,7.361316601301,0.135602977991418,0.0913638084965098,0.172602256860698,-0.0273965593283396,-0.0451857980075756,-0.00988598709339028
Age_gender_scanner_TBrainVolume_CT,SVR,2560,-0.030878902721254,-0.0641065494319114,-4.579362457719e-05,7.20946912556098,7.03025436733831,7.38326825724721,-0.0141595755967388,-0.0417899280566534,0.0167588995833695,-0.000264182315213191,-0.00242827503680632,0.00173649160398925
Age_gender_scanner_TBrainVolume_CT,Xgboost,2560,0.115281723045833,0.0845161270005925,0.148314034240699,7.17253228485654,7.01343663684402,7.3586982067008,0.132675244999083,0.0917165450798802,0.174863968332584,-0.0552773748524134,-0.0882978681607303,-0.022105465951852
Age_gender_scanner_TBrainVolume_CT,glmnet,AAL,0.0564652980110099,0.0267533914317697,0.0888590360604514,7.21571760719257,7.0325581027748,7.38114028548902,0.0592277071202102,0.0205415227318883,0.103277756396084,0.00349315014549312,-0.0209693274294729,0.0252083921201902
Age_gender_scanner_TBrainVolume_CT,randomF,AAL,0.0777434169223939,0.0459050366545788,0.107156408899817,7.19260593766985,7.02563037525971,7.36628187568902,0.119767472615294,0.0820137434662164,0.158886364508846,-0.0240520825814059,-0.0478302912264699,-0.00140478137210698
Age_gender_scanner_TBrainVolume_CT,SVR,AAL,0.0121586001510385,-0.0207420115079937,0.0458138291533707,7.21494940806274,7.04230907246009,7.39000329718029,0.0288779272755536,-0.0118879723113739,0.072267357926555,0.00521610018654872,-0.00985560121006213,0.02092841272087
Age_gender_scanner_TBrainVolume_CT,Xgboost,AAL,0.0631679415008571,0.0334259451651029,0.0936807406387333,7.19584331466191,7.02373440692879,7.35667929581127,0.0805614634541073,0.0415229728121622,0.121108757616822,-0.031966345047044,-0.0663631946006071,0.00377951775101604
